Selling Price,Original Price,Rating (Out of 5),Average Battery Life (in days),Reviews,Discount price
0.18635170603674542,0.4000500125031258,0.25,0.3333333333333333,0.39362699156513586,-3299.0
0.14960629921259844,0.4000500125031258,0.583333333333333,0.3333333333333333,0.29615745079662603,-1000.0
0.0,0.0,0.25,0.07407407407407407,0.01218369259606373,-1901.0
0.23884514435695542,0.19954988747186794,0.666666666666667,1.0,0.45548266166822865,-7000.0
0.05511811023622048,0.14998749687421856,0.5,0.3333333333333333,0.6419868791002812,-5500.0
0.2125984251968504,0.19999999999999998,0.5,0.5185185185185186,0.45548266166822865,-3000.0
0.2125984251968504,0.650112528132033,0.583333333333333,0.3333333333333333,0.19587628865979384,-2599.0
0.3700787401574803,0.8001500375093773,0.75,0.2222222222222222,0.260543580131209,-1040.0
0.14960629921259844,0.14998749687421856,0.4166666666666665,0.5185185185185186,0.45548266166822865,-6200.0
,,,,,-5000.0
,,,,,0.0
,,,,,-6200.0
,,,,,-6000.0
,,,,,-10997.0
,,,,,-1000.0
,,,,,-7000.0
,,,,,-6000.0
,,,,,-6599.0
,,,,,-3000.0
,,,,,-6000.0
,,,,,-1996.0
,,,,,-1200.0
,,,,,-5500.0
,,,,,-5000.0
,,,,,-1051.0
,,,,,-2000.0
,,,,,-3491.0
,,,,,-491.0
,,,,,0.0
,,,,,-7000.0
,,,,,-4700.0
,,,,,-6000.0
,,,,,-2000.0
,,,,,-17596.0
,,,,,0.0
,,,,,-1800.0
,,,,,-8500.0
,,,,,-7000.0
,,,,,-3000.0
,,,,,-6000.0
,,,,,0.0
,,,,,-2474.0
,,,,,-10998.0
,,,,,-500.0
,,,,,-3000.0
,,,,,-5200.0
,,,,,-2200.0
,,,,,-2991.0
,,,,,-3000.0
,,,,,-1000.0
,,,,,-1000.0
,,,,,-10000.0
,,,,,-3000.0
,,,,,-2200.0
,,,,,-10000.0
,,,,,-7598.0
,,,,,-3000.0
,,,,,-1500.0
,,,,,-4399.0
,,,,,-8952.0
,,,,,-2000.0
,,,,,-1200.0
,,,,,-7000.0
0.6428871391076115,0.724931232808202,0.4166666666666665,0.4074074074074074,0.0009372071227741331,
0.28608923884514437,0.27001750437609406,0.8333333333333335,1.0,0.16213683223992503,
0.007874015748031496,0.050012503125781455,0.0,0.2222222222222222,0.10965323336457357,
0.4750656167979003,0.7501375343835959,0.666666666666667,0.4074074074074074,0.0,
0.05511811023622048,0.14998749687421856,0.4166666666666665,0.48148148148148145,0.7928772258669167,
0.6008923884514435,0.6499124781195299,0.4166666666666665,0.4074074074074074,0.0028116213683223993,
0.2100262467191601,0.19954988747186794,0.666666666666667,1.0,0.16213683223992503,
0.2650918635170604,0.4500625156289072,0.75,0.7037037037037037,0.3336457357075914,
0.9997900262467192,0.899974993748437,0.75,0.0,0.07029053420805999,
0.14960629921259844,0.4000500125031258,0.25,0.3333333333333333,0.260543580131209,
0.3700787401574803,0.6001000250062516,0.666666666666667,0.48148148148148145,0.2727272727272727,
0.52750656167979,1.0,0.4166666666666665,0.037037037037037035,0.5595126522961575,
0.2125984251968504,0.19999999999999998,0.8333333333333335,0.48148148148148145,0.3139643861293346,
0.10761154855643046,0.4000500125031258,0.4166666666666665,0.5185185185185186,0.5079662605435802,
0.16010498687664043,0.4000500125031258,0.33333333333333304,0.5185185185185186,0.1162136832239925,
0.7583727034120735,1.0,0.75,0.0,0.003748828491096532,
0.2650918635170604,0.35003750937734435,0.666666666666667,0.48148148148148145,0.45548266166822865,
0.5800524934383202,0.8001500375093773,0.583333333333333,0.2222222222222222,0.14058106841611998,
1.0,1.0,0.33333333333333304,0.0,0.04779756326148079,
0.22834645669291342,0.2250062515628907,0.5,0.5185185185185186,0.45548266166822865,
0.6062992125984251,0.8001500375093773,0.583333333333333,0.3333333333333333,0.6035613870665417,
0.7370603674540682,0.8997249312328082,0.4166666666666665,0.48148148148148145,0.450796626054358,
0.13385826771653545,0.17499374843710927,0.5,0.2222222222222222,0.11433926897844424,
0.08136482939632547,0.19954988747186794,0.16666666666666652,0.2222222222222222,0.492970946579194,
0.8948031496062993,0.7999499874968742,0.5,0.037037037037037035,0.04873477038425492,
0.16010498687664043,0.4500625156289072,0.583333333333333,0.14814814814814814,0.2118088097469541,
0.12335958005249345,0.3000250062515629,0.666666666666667,0.3333333333333333,0.04029990627928772,
0.16010498687664043,0.4000500125031258,0.4166666666666665,0.2222222222222222,0.08716026241799438,
0.10761154855643046,0.14998749687421856,0.4166666666666665,0.5185185185185186,0.45548266166822865,
0.18110236220472442,1.0,0.33333333333333304,0.0,0.04029990627928772,
0.7898162729658792,0.6999249812453113,1.0,0.0,0.04029990627928772,
0.06561679790026248,0.0999749937484371,0.916666666666667,0.2222222222222222,0.029053420805998126,
0.18635170603674542,0.5500875218804702,0.5,0.3333333333333333,0.4835988753514527,
0.10761154855643046,0.4000500125031258,0.666666666666667,0.2222222222222222,0.07591377694470477,
0.2125984251968504,0.4500625156289072,0.75,0.3333333333333333,0.3289597000937207,
0.6325459317585301,0.5500875218804702,0.583333333333333,0.8888888888888888,0.45548266166822865,
0.6861942257217848,0.724931232808202,0.4166666666666665,0.4074074074074074,0.0028116213683223993,
0.5274540682414698,1.0,0.4166666666666665,0.48148148148148145,0.04029990627928772,
0.13385826771653545,0.0999749937484371,0.666666666666667,0.2222222222222222,0.8669165885660731,
0.89501312335958,0.9501875468867216,0.8333333333333335,0.8888888888888888,0.19868791002811623,
0.09711286089238846,0.3000250062515629,0.4166666666666665,0.3333333333333333,0.2867853795688847,
0.09711286089238846,0.14998749687421856,0.916666666666667,0.2222222222222222,0.024367385192127458,
0.10761154855643046,0.19954988747186794,0.583333333333333,0.2222222222222222,1.0,
0.6325459317585301,0.7001250312578144,0.8333333333333335,0.48148148148148145,0.0,
0.5800524934383202,0.5500875218804702,0.583333333333333,0.2222222222222222,0.16213683223992503,
0.4750656167979003,0.5500875218804702,0.583333333333333,0.48148148148148145,0.23992502343017807,
0.14960629921259844,0.19999999999999998,0.666666666666667,0.48148148148148145,0.3345829428303655,
0.5484514435695538,0.8499624906226556,0.583333333333333,0.0,0.05435801312089972,
0.4750656167979003,0.5500875218804702,0.75,0.4074074074074074,0.13402061855670105,
0.23884514435695542,0.2500125031257814,0.666666666666667,1.0,0.16213683223992503,
0.8738582677165354,1.0,0.4166666666666665,0.48148148148148145,0.04029990627928772,
0.4250918635170604,0.8001500375093773,0.75,0.2222222222222222,0.260543580131209,
0.08136482939632547,0.12498124531132782,1.0,0.2222222222222222,0.035613870665417054,
0.3700787401574803,0.650112528132033,0.583333333333333,0.2222222222222222,0.16869728209934398,
